Date;Open;High;Low;Close;Adj Close;Volume
2010-10-03;1.418002;1.415878;1.417859;1.417786;1.417786;null
2010-10-04;1.413724;1.428961;1.426989;1.414038;1.414038;null
2010-10-05;1.424005;1.423641;1.423736;1.423512;1.423512;null
2010-10-06;1.425826;1.424441;1.413947;1.425549;1.425549;null
2010-10-07;1.416936;1.425682;1.415954;1.417588;1.417588;null
2010-10-10;1.413425;1.413554;1.413505;1.412577;1.412577;null
2010-10-11;1.410586;1.410263;1.408324;1.410230;1.410230;null
2010-10-12;1.410479;1.414162;1.410152;1.410479;1.410479;null
2010-10-13;1.408775;1.408579;1.412738;1.408878;1.408878;null
2010-10-14;1.416009;1.416657;1.416222;1.416630;1.416630;null
2010-10-17;1.412465;1.411333;1.408868;1.411934;1.411934;null
2010-10-18;1.408700;1.418950;1.406261;1.408225;1.408225;null
2010-10-19;1.415224;1.417725;1.416067;1.415264;1.415264;null
2010-10-20;1.416642;1.415109;1.420281;1.416423;1.416423;null
2010-10-21;1.421593;1.420390;1.417616;1.421752;1.421752;null
2010-10-24;1.417581;1.418000;1.411357;1.417556;1.417556;null
2010-10-25;1.409340;1.407219;1.408258;1.408844;1.408844;null
2010-10-26;1.404737;1.422655;1.406567;1.404544;1.404544;null
2010-10-27;1.416408;1.416351;1.420028;1.416388;1.416388;null
2010-10-28;1.416408;1.425908;1.420605;1.416388;1.416388;null
2010-11-01;1.414674;1.410605;1.413499;1.416373;1.416373;null
2010-11-02;1.407206;1.406972;1.401840;1.407089;1.407089;null
2010-11-03;1.404919;1.406921;1.405210;1.405011;1.405011;null
2010-11-04;1.407724;1.407287;1.407281;1.407191;1.407191;null
2010-11-05;1.401164;1.391075;1.397700;1.400802;1.400802;null
2010-11-08;1.384880;1.378095;1.385119;1.384832;1.384832;null
2010-11-09;1.372228;1.372398;1.373163;1.372691;1.372691;null
2010-11-10;1.370504;1.369828;1.372073;1.370605;1.370605;null
2010-11-11;1.371170;1.370411;1.372796;1.371253;1.371253;null
2010-11-12;1.366558;1.381352;1.376651;1.367005;1.367005;null
2010-11-15;1.384765;1.384747;1.388587;1.384519;1.384519;null
2010-11-16;1.380279;1.387113;1.379927;1.380148;1.380148;null
2010-11-17;1.382712;1.383847;1.378483;1.382241;1.382241;null
2010-11-18;1.380109;1.380796;1.380460;1.380610;1.380610;null
2010-11-19;1.378637;1.386148;1.385456;1.378703;1.378703;null
2010-11-22;1.387965;1.379653;1.384849;1.388045;1.388045;null
2010-11-23;1.378963;1.373456;1.377559;1.378691;1.378691;null
2010-11-24;1.373586;1.364210;1.362551;1.373439;1.373439;null
2010-11-25;1.356629;1.361063;1.358371;1.356095;1.356095;null
2010-11-26;1.365043;1.373000;1.365232;1.364922;1.364922;null
2010-11-29;1.369433;1.365341;1.371107;1.370400;1.370400;null
2010-11-30;1.362952;1.359002;1.361449;1.363988;1.363988;null
2010-12-01;1.354333;1.359737;1.359559;1.353644;1.353644;null
2010-12-02;1.359025;1.356154;1.355943;1.358428;1.358428;null
